obstacle_count,simulation_number,start_position,result,termination_reason,trajectory_length
6,6,11,target reached,goal_reached,66
6,6,12,target reached,goal_reached,65
6,7,1,target reached,goal_reached,67
6,7,2,target reached,goal_reached,65
6,7,3,target reached,goal_reached,65
6,7,4,target reached,goal_reached,65
6,7,5,target reached,goal_reached,66
6,7,6,target reached,goal_reached,66
6,7,7,target reached,goal_reached,66
6,7,8,target reached,goal_reached,67
6,7,9,target reached,goal_reached,66
6,7,10,target reached,goal_reached,65
6,7,11,target reached,goal_reached,66
6,7,12,target reached,goal_reached,66
6,8,1,target reached,goal_reached,66
6,8,2,target reached,goal_reached,65
6,8,3,target reached,goal_reached,65
6,8,4,target not reached,collision,31
6,8,5,target reached,goal_reached,66
6,8,6,target reached,goal_reached,66
6,8,7,target reached,goal_reached,65
6,8,8,target reached,goal_reached,66
6,8,9,target reached,goal_reached,66
6,8,10,target reached,goal_reached,65
6,8,11,target reached,goal_reached,72
6,8,12,target reached,goal_reached,66
6,9,1,target reached,goal_reached,66
6,9,2,target reached,goal_reached,65
6,9,3,target reached,goal_reached,65
6,9,4,target reached,goal_reached,66
6,9,5,target reached,goal_reached,66
6,9,6,target reached,goal_reached,67
6,9,7,target reached,goal_reached,69
6,9,8,target reached,goal_reached,67
6,9,9,target reached,goal_reached,66
6,9,10,target reached,goal_reached,67
6,9,11,target reached,goal_reached,68
6,9,12,target reached,goal_reached,65
6,10,1,target reached,goal_reached,65
6,10,2,target reached,goal_reached,65
6,10,3,target reached,goal_reached,65
6,10,4,target reached,goal_reached,65
6,10,5,target reached,goal_reached,67
6,10,6,target reached,goal_reached,65
6,10,7,target reached,goal_reached,67
6,10,8,target reached,goal_reached,67
6,10,9,target reached,goal_reached,65
6,10,10,target reached,goal_reached,69
6,10,11,target reached,goal_reached,69
6,10,12,target reached,goal_reached,65
6,11,1,target reached,goal_reached,65
6,11,2,target reached,goal_reached,65
6,11,3,target reached,goal_reached,66
6,11,4,target reached,goal_reached,67
6,11,5,target reached,goal_reached,68
6,11,6,target reached,goal_reached,65
6,11,7,target reached,goal_reached,67
6,11,8,target reached,goal_reached,66
6,11,9,target reached,goal_reached,69
6,11,10,target reached,goal_reached,65
6,11,11,target reached,goal_reached,66
6,11,12,target reached,goal_reached,65
6,12,1,target not reached,collision,33
6,12,2,target reached,goal_reached,65
6,12,3,target reached,goal_reached,65
6,12,4,target reached,goal_reached,66
6,12,5,target reached,goal_reached,66
6,12,6,target reached,goal_reached,65
6,12,7,target reached,goal_reached,66
6,12,8,target reached,goal_reached,67
6,12,9,target reached,goal_reached,66
6,12,10,target reached,goal_reached,65
6,12,11,target reached,goal_reached,66
6,12,12,target reached,goal_reached,66
6,13,1,target reached,goal_reached,67
6,13,2,target reached,goal_reached,67
6,13,3,target reached,goal_reached,65
6,13,4,target reached,goal_reached,65
6,13,5,target reached,goal_reached,65
6,13,6,target reached,goal_reached,66
6,13,7,target reached,goal_reached,68
6,13,8,target not reached,collision,50
6,13,9,target reached,goal_reached,65
6,13,10,target reached,goal_reached,65
6,13,11,target reached,goal_reached,74
6,13,12,target reached,goal_reached,65
6,14,1,target reached,goal_reached,66
6,14,2,target reached,goal_reached,66
6,14,3,target reached,goal_reached,65
6,14,4,target reached,goal_reached,66
6,14,5,target reached,goal_reached,66
6,14,6,target reached,goal_reached,65
6,14,7,target reached,goal_reached,67
6,14,8,target not reached,collision,38
6,14,9,target reached,goal_reached,67
6,14,10,target reached,goal_reached,67
6,14,11,target reached,goal_reached,66
6,14,12,target reached,goal_reached,65
6,15,1,target reached,goal_reached,65
6,15,2,target reached,goal_reached,65
6,15,3,target reached,goal_reached,65
6,15,4,target reached,goal_reached,65
6,15,5,target reached,goal_reached,67
6,15,6,target reached,goal_reached,65
6,15,7,target reached,goal_reached,67
6,15,8,target reached,goal_reached,69
6,15,9,target reached,goal_reached,65
6,15,10,target reached,goal_reached,66
6,15,11,target reached,goal_reached,68
6,15,12,target not reached,collision,41
6,16,1,target reached,goal_reached,65
6,16,2,target reached,goal_reached,65
6,16,3,target reached,goal_reached,66
6,16,4,target reached,goal_reached,65
6,16,5,target reached,goal_reached,66
6,16,6,target reached,goal_reached,68
6,16,7,target reached,goal_reached,66
6,16,8,target reached,goal_reached,69
6,16,9,target reached,goal_reached,68
6,16,10,target reached,goal_reached,66
6,16,11,target reached,goal_reached,66
6,16,12,target reached,goal_reached,65
6,17,1,target reached,goal_reached,66
6,17,2,target reached,goal_reached,65
6,17,3,target reached,goal_reached,69
6,17,4,target not reached,collision,31
6,17,5,target reached,goal_reached,65
6,17,6,target reached,goal_reached,65
